ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
MEX,Mexico,total,Drinking water,2017,0.68178,880610.7891,Unimproved
MHL,Marshall Islands,total,Drinking water,2017,0.23943,127.20283,Unimproved
MKD,North Macedonia,total,Drinking water,2017,0.60158,12531.92853,Unimproved
MLI,Mali,total,Drinking water,2017,15.29399,2835808.04,Unimproved
MLT,Malta,total,Drinking water,2017,0,0,Unimproved
MMR,Myanmar,total,Drinking water,2017,9.39091,5011986.814,Unimproved
MNE,Montenegro,total,Drinking water,2017,0.12456,783.4275,Unimproved
MNG,Mongolia,total,Drinking water,2017,7.82735,240741.536,Unimproved
MNP,Northern Mariana Islands,total,Drinking water,2017,0,0,Unimproved
MOZ,Mozambique,total,Drinking water,2017,16.15436,4792810.716,Unimproved
MRT,Mauritania,total,Drinking water,2017,15.57716,688539.1263,Unimproved
MTQ,Martinique,total,Drinking water,2017,0,0,Unimproved
MUS,Mauritius,total,Drinking water,2017,0.13367,1691.09283,Unimproved
MWI,Malawi,total,Drinking water,2017,8.86908,1651609.663,Unimproved
MYS,Malaysia,total,Drinking water,2017,2.9467,931871.908,Unimproved
MYT,Mayotte,total,Drinking water,2017,0.11065,279.99585,Unimproved
NAM,Namibia,total,Drinking water,2017,3.99086,101120.1152,Unimproved
NCL,New Caledonia,total,Drinking water,2017,0.6714,1854.78273,Unimproved
NER,Niger,total,Drinking water,2017,31.07298,6673653.085,Unimproved
NGA,Nigeria,total,Drinking water,2017,14.59751,27864652.3,Unimproved
NIC,Nicaragua,total,Drinking water,2017,13.64097,848138.6389,Unimproved
NIU,Niue,total,Drinking water,2017,1.80126,29.14435,Unimproved
NLD,Netherlands,total,Drinking water,2017,0,0.12207,Unimproved
NOR,Norway,total,Drinking water,2017,0,0,Unimproved
NPL,Nepal,total,Drinking water,2017,6.56741,1924578.792,Unimproved
NRU,Nauru,total,Drinking water,2017,0.51507,58.5063,Unimproved
NZL,New Zealand,total,Drinking water,2017,0,0,Unimproved
OMN,Oman,total,Drinking water,2017,0,0.06104,Unimproved
PAK,Pakistan,total,Drinking water,2017,5.85698,11539181.01,Unimproved
PAN,Panama,total,Drinking water,2017,1.09792,44999.36441,Unimproved
PER,Peru,total,Drinking water,2017,5.22173,1679595.628,Unimproved
PHL,Philippines,total,Drinking water,2017,4.57369,4798624.538,Unimproved
PLW,Palau,total,Drinking water,2017,0,0.00048,Unimproved
PNG,Papua New Guinea,total,Drinking water,2017,5.50513,454236.8973,Unimproved
POL,Poland,total,Drinking water,2017,0.27532,105090.6345,Unimproved
PRI,Puerto Rico,total,Drinking water,2017,2.87521,105322.6846,Unimproved
PRK,Democratic People's Republic of Korea,total,Drinking water,2017,4.53603,1156277.718,Unimproved
PRT,Portugal,total,Drinking water,2017,0.09234,9538.24423,Unimproved
PRY,Paraguay,total,Drinking water,2017,0,0.24414,Unimproved
PSE,West Bank and Gaza Strip,total,Drinking water,2017,2.66966,131366.6102,Unimproved
PYF,French Polynesia,total,Drinking water,2017,0,0,Unimproved
QAT,Qatar,total,Drinking water,2017,0.4319,11398.70121,Unimproved
REU,Réunion,total,Drinking water,2017,0,0,Unimproved
ROU,Romania,total,Drinking water,2017,0,0,Unimproved
RUS,Russian Federation,total,Drinking water,2017,2.27781,3279812.989,Unimproved
RWA,Rwanda,total,Drinking water,2017,14.08421,1719457.262,Unimproved
SAU,Saudi Arabia,total,Drinking water,2017,0,0,Unimproved
SDN,Sudan,total,Drinking water,2017,3.7,1499731.632,Unimproved
SEN,Senegal,total,Drinking water,2017,16.44726,2606983.603,Unimproved
SGP,Singapore,total,Drinking water,2017,0,0,Unimproved
SHN,Saint Helena,total,Drinking water,2017,0.95,38.4655,Unimproved
SLB,Solomon Islands,total,Drinking water,2017,14.87663,90947.24028,Unimproved
SLE,Sierra Leone,total,Drinking water,2017,16.48939,1246138.234,Unimproved
SLV,El Salvador,total,Drinking water,2017,0.01126,717.85243,Unimproved
SMR,San Marino,total,Drinking water,2017,0,0,Unimproved
SOM,Somalia,total,Drinking water,2017,13.51674,1992707.933,Unimproved
SPM,Saint Pierre and Miquelon,total,Drinking water,2017,8.6,543.52,Unimproved
SRB,Serbia,total,Drinking water,2017,0.76387,67148.99387,Unimproved
SSD,South Sudan,total,Drinking water,2017,16.58439,2085605.909,Unimproved
STP,Sao Tome and Principe,total,Drinking water,2017,0.66928,1367.51011,Unimproved
SUR,Suriname,total,Drinking water,2017,3.36833,18977.24297,Unimproved
SVK,Slovakia,total,Drinking water,2017,0,0,Unimproved
SVN,Slovenia,total,Drinking water,2017,0.46497,9671.35848,Unimproved
SWE,Sweden,total,Drinking water,2017,0,0,Unimproved
SWZ,Eswatini,total,Drinking water,2017,8.64937,118258.9001,Unimproved
SXM,Sint Maarten (Dutch part),total,Drinking water,2017,4.92588,1976.26324,Unimproved
SYC,Seychelles,total,Drinking water,2017,0,0,Unimproved
SYR,Syrian Arab Republic,total,Drinking water,2017,0.57725,105462.0871,Unimproved
TCA,Turks and Caicos Islands,total,Drinking water,2017,5.68182,2013.97727,Unimproved
TCD,Chad,total,Drinking water,2017,38.72852,5770546.971,Unimproved
TGO,Togo,total,Drinking water,2017,15.72135,1225902.997,Unimproved
THA,Thailand,total,Drinking water,2017,0,0,Unimproved
TJK,Tajikistan,total,Drinking water,2017,2.30631,205754.128,Unimproved
TKL,Tokelau,total,Drinking water,2017,0.37575,4.88475,Unimproved
TKM,Turkmenistan,total,Drinking water,2017,0,0,Unimproved
TLS,Timor-Leste,total,Drinking water,2017,14.919,193396.6572,Unimproved
TON,Tonga,total,Drinking water,2017,0.09317,100.64467,Unimproved
TTO,Trinidad and Tobago,total,Drinking water,2017,0.69806,9557.32357,Unimproved
TUN,Tunisia,total,Drinking water,2017,1.78148,205442.2217,Unimproved
TUR,Turkey,total,Drinking water,2017,0.99739,805340.4155,Unimproved
TUV,Tuvalu,total,Drinking water,2017,0.72776,81.4509,Unimproved
TZA,United Republic of Tanzania,total,Drinking water,2017,17.6104,10092524.89,Unimproved
UGA,Uganda,total,Drinking water,2017,12.46246,5341780.357,Unimproved
UKR,Ukraine,total,Drinking water,2017,0.2359,104322.8667,Unimproved
URY,Uruguay,total,Drinking water,2017,0,0,Unimproved
USA,United States of America,total,Drinking water,2017,0.73081,2371175.431,Unimproved
UZB,Uzbekistan,total,Drinking water,2017,0.22444,71619.97914,Unimproved
VCT,Saint Vincent and the Grenadines,total,Drinking water,2017,4.85478,5335.25769,Unimproved
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2017,2.41704,772897.4089,Unimproved
VGB,British Virgin Islands,total,Drinking water,2017,0.13562,42.3069,Unimproved
VIR,United States Virgin Islands,total,Drinking water,2017,1.28173,1344.55034,Unimproved
VNM,Viet Nam,total,Drinking water,2017,5.28119,5045695.373,Unimproved
VUT,Vanuatu,total,Drinking water,2017,0,0,Unimproved
WLF,Wallis and Futuna Islands,total,Drinking water,2017,0.44072,51.88639,Unimproved
WSM,Samoa,total,Drinking water,2017,1.65694,3254.88785,Unimproved
YEM,Yemen,total,Drinking water,2017,3.75959,1062098.774,Unimproved
ZAF,South Africa,total,Drinking water,2017,1.83447,1040460,Unimproved
ZMB,Zambia,total,Drinking water,2017,23.893,4084300.341,Unimproved
ZWE,Zimbabwe,total,Drinking water,2017,15.65012,2586949.9,Unimproved
